Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Common Cold,sneezing,cough,sore throat,runny nose,congestion,mild fever,
Urinary Tract Infection,frequent urination,cloudy urine,chills,fever,pelvic pain,,
Influenza,runny nose,sore throat,fatigue,,,,
Hypertension,headache,nosebleed,blurred vision,chest pain,,,
Appendicitis,loss of appetite,nausea,vomiting,bloating,severe abdominal pain,fever,
Dengue Fever,joint pain,vomiting,rash,muscle pain,severe headache,,
COVID-19,body aches,fever,fatigue,,,,
Diabetes,weight loss,blurred vision,fatigue,slow healing wounds,numbness in feet,excessive thirst,frequent urination
Typhoid,constipation,stomach pain,weakness,diarrhea,loss of appetite,,
Anemia,weakness,pale skin,chest pain,dizziness,shortness of breath,,
COVID-19,shortness of breath,loss of taste,headache,,,,
Typhoid,rash,high fever,loss of appetite,,,,
Asthma,shortness of breath,chest tightness,wheezing,fatigue,coughing,,
Urinary Tract Infection,cloudy urine,burning urination,pelvic pain,chills,,,
COVID-19,loss of taste,cough,headache,fatigue,shortness of breath,body aches,
Gastroenteritis,fatigue,nausea,loss of appetite,,,,
Malaria,fever,muscle pain,sweating,headache,,,
Influenza,fever,runny nose,cough,,,,
Hepatitis B,fatigue,joint pain,jaundice,dark urine,,,
Urinary Tract Infection,pelvic pain,chills,cloudy urine,,,,
Measles,rash,sensitivity to light,cough,fever,,,
Dengue Fever,nausea,muscle pain,rash,,,,
Tuberculosis,chest pain,persistent cough,fever,coughing up blood,fatigue,night sweats,weight loss
COVID-19,body aches,fever,shortness of breath,loss of smell,fatigue,,
COVID-19,cough,fever,loss of smell,body aches,fatigue,loss of taste,
Hepatitis B,abdominal pain,nausea,fatigue,jaundice,dark urine,vomiting,
Chicken Pox,rash,fatigue,fever,itchiness,loss of appetite,blisters,
Influenza,fever,fatigue,sore throat,cough,body aches,chills,headache
Hypertension,chest pain,headache,shortness of breath,dizziness,blurred vision,nosebleed,
Anemia,shortness of breath,pale skin,chest pain,dizziness,weakness,cold hands,
COVID-19,fatigue,fever,loss of taste,headache,cough,shortness of breath,
Tuberculosis,coughing up blood,fatigue,night sweats,fever,weight loss,chest pain,persistent cough
Typhoid,headache,stomach pain,weakness,diarrhea,loss of appetite,,
Anemia,cold hands,fatigue,weakness,chest pain,,,
Chicken Pox,loss of appetite,itchiness,rash,headache,,,
Influenza,fatigue,fever,headache,sore throat,cough,chills,runny nose
Chicken Pox,blisters,fever,rash,loss of appetite,fatigue,,
Asthma,wheezing,coughing,fatigue,chest tightness,,,
Appendicitis,nausea,severe abdominal pain,vomiting,bloating,fever,loss of appetite,
Chicken Pox,itchiness,blisters,rash,fatigue,,,
Influenza,cough,sore throat,runny nose,fatigue,chills,,
Chicken Pox,loss of appetite,rash,blisters,fever,headache,itchiness,
Urinary Tract Infection,frequent urination,burning urination,fever,,,,
Gastroenteritis,fatigue,nausea,vomiting,stomach cramps,loss of appetite,diarrhea,fever
Chicken Pox,loss of appetite,fever,blisters,,,,
Typhoid,stomach pain,rash,constipation,weakness,,,
Anemia,fatigue,shortness of breath,chest pain,dizziness,,,
Arthritis,fatigue,reduced range of motion,stiffness,swelling,warmth in joints,,
Migraine,nausea,blurred vision,sensitivity to sound,severe headache,sensitivity to light,,
Common Cold,congestion,sneezing,sore throat,,,,
Diabetes,fatigue,blurred vision,excessive thirst,numbness in feet,weight loss,slow healing wounds,frequent urination
Tuberculosis,persistent cough,night sweats,chest pain,,,,
Measles,cough,rash,fever,fatigue,sensitivity to light,runny nose,
Dengue Fever,nausea,vomiting,high fever,fatigue,severe headache,muscle pain,rash
Dengue Fever,nausea,joint pain,severe headache,high fever,rash,,
Urinary Tract Infection,cloudy urine,chills,burning urination,fever,frequent urination,pelvic pain,
Hypertension,shortness of breath,dizziness,nosebleed,headache,chest pain,,
Hypertension,shortness of breath,chest pain,dizziness,blurred vision,,,
Urinary Tract Infection,pelvic pain,fever,chills,cloudy urine,,,
Pneumonia,fatigue,rapid breathing,chills,,,,
Typhoid,stomach pain,rash,diarrhea,high fever,constipation,,
Diabetes,slow healing wounds,numbness in feet,blurred vision,frequent urination,excessive thirst,weight loss,
Influenza,headache,fatigue,chills,,,,
Urinary Tract Infection,pelvic pain,fever,chills,,,,
Asthma,wheezing,shortness of breath,chest tightness,coughing,fatigue,,
Tuberculosis,chest pain,persistent cough,coughing up blood,fatigue,weight loss,fever,
COVID-19,body aches,headache,fatigue,,,,
Arthritis,reduced range of motion,swelling,joint pain,fatigue,warmth in joints,,
Pneumonia,fever,fatigue,shortness of breath,,,,
Migraine,severe headache,blurred vision,sensitivity to light,sensitivity to sound,vomiting,,
Urinary Tract Infection,burning urination,chills,fever,pelvic pain,cloudy urine,frequent urination,
Appendicitis,bloating,nausea,loss of appetite,vomiting,severe abdominal pain,,
Anemia,dizziness,cold hands,weakness,,,,
Migraine,fatigue,sensitivity to light,blurred vision,severe headache,nausea,vomiting,
Measles,rash,red eyes,runny nose,sensitivity to light,cough,fever,fatigue
Chicken Pox,fever,itchiness,blisters,loss of appetite,fatigue,,
Influenza,headache,body aches,fever,fatigue,,,
Measles,runny nose,sensitivity to light,rash,red eyes,,,
Influenza,headache,cough,fever,runny nose,,,
Urinary Tract Infection,pelvic pain,cloudy urine,fever,chills,burning urination,frequent urination,
Typhoid,headache,high fever,loss of appetite,weakness,stomach pain,constipation,rash
Malaria,vomiting,headache,sweating,fatigue,nausea,fever,muscle pain
Common Cold,mild fever,runny nose,congestion,cough,sore throat,,
Hepatitis B,joint pain,jaundice,dark urine,abdominal pain,,,
Hepatitis B,vomiting,jaundice,dark urine,abdominal pain,nausea,joint pain,fatigue
Gastroenteritis,vomiting,fatigue,nausea,,,,
Migraine,fatigue,nausea,sensitivity to sound,vomiting,,,
Malaria,chills,sweating,headache,nausea,fever,vomiting,
Urinary Tract Infection,fever,burning urination,frequent urination,cloudy urine,chills,pelvic pain,
Hepatitis B,fatigue,jaundice,joint pain,,,,
Chicken Pox,blisters,itchiness,headache,rash,fever,fatigue,
COVID-19,headache,fever,loss of taste,fatigue,cough,loss of smell,body aches
Gastroenteritis,nausea,diarrhea,fatigue,loss of appetite,,,
Hypertension,chest pain,shortness of breath,dizziness,blurred vision,headache,nosebleed,fatigue
Chicken Pox,itchiness,headache,loss of appetite,fatigue,blisters,rash,
Typhoid,loss of appetite,stomach pain,weakness,,,,
Gastroenteritis,fatigue,nausea,loss of appetite,stomach cramps,,,
Gastroenteritis,fever,vomiting,loss of appetite,diarrhea,fatigue,nausea,stomach cramps
Tuberculosis,night sweats,chest pain,weight loss,coughing up blood,fever,persistent cough,fatigue
Influenza,runny nose,headache,cough,body aches,sore throat,chills,
Anemia,shortness of breath,chest pain,cold hands,weakness,dizziness,fatigue,pale skin
Tuberculosis,persistent cough,coughing up blood,fever,weight loss,,,
Appendicitis,vomiting,loss of appetite,bloating,nausea,fever,severe abdominal pain,
Tuberculosis,fever,weight loss,fatigue,coughing up blood,,,
Common Cold,runny nose,mild fever,congestion,,,,
COVID-19,fatigue,headache,shortness of breath,fever,loss of smell,,
Gastroenteritis,fatigue,diarrhea,fever,loss of appetite,,,
Hypertension,blurred vision,nosebleed,chest pain,dizziness,fatigue,,
Gastroenteritis,stomach cramps,loss of appetite,fever,vomiting,diarrhea,fatigue,
Pneumonia,chest pain,chills,fever,,,,
Chicken Pox,fatigue,rash,headache,loss of appetite,blisters,fever,
Tuberculosis,fatigue,weight loss,chest pain,,,,
Arthritis,warmth in joints,reduced range of motion,swelling,stiffness,fatigue,joint pain,
Dengue Fever,joint pain,rash,high fever,severe headache,muscle pain,vomiting,
Measles,runny nose,fatigue,rash,,,,
Malaria,muscle pain,chills,vomiting,nausea,headache,sweating,
Measles,red eyes,sensitivity to light,fever,runny nose,fatigue,rash,
COVID-19,fatigue,body aches,loss of taste,shortness of breath,,,
Measles,rash,red eyes,cough,,,,
Typhoid,loss of appetite,headache,diarrhea,rash,constipation,,
Malaria,fatigue,nausea,fever,,,,
Hepatitis B,jaundice,dark urine,vomiting,joint pain,nausea,abdominal pain,
Tuberculosis,weight loss,night sweats,coughing up blood,fever,persistent cough,fatigue,
Tuberculosis,night sweats,fever,persistent cough,fatigue,weight loss,chest pain,coughing up blood
Chicken Pox,fatigue,headache,loss of appetite,blisters,fever,itchiness,rash
Typhoid,stomach pain,loss of appetite,constipation,diarrhea,weakness,,
Influenza,headache,fatigue,runny nose,cough,,,
Asthma,chest tightness,shortness of breath,fatigue,wheezing,coughing,,
Arthritis,swelling,fatigue,reduced range of motion,joint pain,stiffness,warmth in joints,
Asthma,fatigue,wheezing,shortness of breath,,,,
Migraine,blurred vision,sensitivity to light,sensitivity to sound,fatigue,severe headache,,
Anemia,chest pain,dizziness,shortness of breath,,,,
Pneumonia,rapid breathing,cough,shortness of breath,fatigue,fever,,
Hepatitis B,jaundice,joint pain,fatigue,vomiting,abdominal pain,dark urine,nausea
Tuberculosis,weight loss,fever,chest pain,persistent cough,coughing up blood,,
Typhoid,headache,rash,constipation,weakness,stomach pain,diarrhea,loss of appetite
COVID-19,fatigue,shortness of breath,body aches,,,,
Measles,runny nose,rash,red eyes,fever,,,
Common Cold,fatigue,mild fever,sneezing,congestion,,,
Hepatitis B,vomiting,abdominal pain,dark urine,joint pain,,,
Migraine,severe headache,blurred vision,fatigue,vomiting,sensitivity to light,nausea,
Hepatitis B,jaundice,vomiting,dark urine,nausea,fatigue,abdominal pain,joint pain
Anemia,weakness,pale skin,fatigue,cold hands,,,
Anemia,weakness,shortness of breath,fatigue,cold hands,chest pain,pale skin,
Migraine,sensitivity to sound,vomiting,sensitivity to light,blurred vision,severe headache,,
Urinary Tract Infection,chills,fever,pelvic pain,cloudy urine,,,
Appendicitis,vomiting,severe abdominal pain,fever,,,,
Asthma,coughing,shortness of breath,wheezing,,,,
Urinary Tract Infection,chills,burning urination,frequent urination,fever,pelvic pain,cloudy urine,
Chicken Pox,itchiness,fever,loss of appetite,blisters,headache,,
Asthma,fatigue,shortness of breath,chest tightness,,,,
Common Cold,sneezing,congestion,runny nose,mild fever,fatigue,sore throat,
COVID-19,shortness of breath,fatigue,headache,loss of smell,,,
Pneumonia,chest pain,rapid breathing,chills,,,,
Common Cold,sore throat,congestion,fatigue,runny nose,,,
Tuberculosis,night sweats,coughing up blood,persistent cough,fatigue,,,
Hepatitis B,jaundice,joint pain,fatigue,,,,
COVID-19,fever,body aches,shortness of breath,,,,
Chicken Pox,loss of appetite,fatigue,rash,fever,blisters,,
Gastroenteritis,vomiting,fatigue,loss of appetite,diarrhea,,,
COVID-19,body aches,shortness of breath,loss of smell,headache,loss of taste,fatigue,cough
Gastroenteritis,loss of appetite,fever,diarrhea,stomach cramps,,,
Chicken Pox,headache,rash,loss of appetite,fever,,,
Diabetes,fatigue,slow healing wounds,blurred vision,weight loss,numbness in feet,,
Urinary Tract Infection,chills,burning urination,cloudy urine,fever,frequent urination,pelvic pain,
Appendicitis,nausea,fever,vomiting,severe abdominal pain,bloating,,
Arthritis,stiffness,reduced range of motion,warmth in joints,swelling,,,
Typhoid,headache,high fever,weakness,constipation,rash,loss of appetite,
Gastroenteritis,fever,fatigue,loss of appetite,,,,
Chicken Pox,fever,loss of appetite,itchiness,fatigue,headache,rash,blisters
Measles,fever,rash,fatigue,cough,red eyes,sensitivity to light,
Diabetes,blurred vision,weight loss,excessive thirst,,,,
Urinary Tract Infection,chills,frequent urination,cloudy urine,fever,pelvic pain,,
Arthritis,reduced range of motion,swelling,joint pain,stiffness,fatigue,warmth in joints,
Hypertension,dizziness,blurred vision,nosebleed,chest pain,,,
Diabetes,blurred vision,slow healing wounds,numbness in feet,frequent urination,excessive thirst,,
Urinary Tract Infection,chills,pelvic pain,burning urination,frequent urination,cloudy urine,fever,
Asthma,coughing,wheezing,fatigue,shortness of breath,chest tightness,,
Appendicitis,fever,severe abdominal pain,nausea,loss of appetite,,,
Migraine,nausea,blurred vision,fatigue,sensitivity to sound,sensitivity to light,,
Anemia,weakness,dizziness,fatigue,cold hands,shortness of breath,pale skin,
Hepatitis B,joint pain,jaundice,vomiting,dark urine,,,
Chicken Pox,headache,rash,itchiness,loss of appetite,fever,,
Migraine,severe headache,nausea,fatigue,sensitivity to light,sensitivity to sound,,
Tuberculosis,weight loss,fatigue,coughing up blood,persistent cough,night sweats,,
Gastroenteritis,fever,loss of appetite,fatigue,diarrhea,,,
Chicken Pox,loss of appetite,rash,fever,blisters,fatigue,itchiness,
Gastroenteritis,diarrhea,vomiting,stomach cramps,fever,fatigue,nausea,
Chicken Pox,itchiness,rash,fever,,,,
Malaria,sweating,muscle pain,headache,vomiting,,,
Diabetes,excessive thirst,slow healing wounds,blurred vision,,,,
Arthritis,warmth in joints,stiffness,swelling,reduced range of motion,joint pain,fatigue,
Anemia,shortness of breath,weakness,fatigue,,,,
Tuberculosis,fatigue,persistent cough,weight loss,coughing up blood,chest pain,,
Arthritis,stiffness,swelling,joint pain,,,,
Malaria,sweating,vomiting,headache,nausea,fever,fatigue,chills
Gastroenteritis,diarrhea,fever,fatigue,vomiting,,,
Anemia,cold hands,weakness,fatigue,chest pain,shortness of breath,,
Hypertension,headache,dizziness,shortness of breath,fatigue,nosebleed,chest pain,
Migraine,blurred vision,nausea,vomiting,fatigue,sensitivity to light,severe headache,
Urinary Tract Infection,frequent urination,cloudy urine,burning urination,,,,
Common Cold,sore throat,runny nose,mild fever,cough,,,
Appendicitis,nausea,vomiting,bloating,loss of appetite,,,
Common Cold,mild fever,congestion,fatigue,sneezing,runny nose,sore throat,
Pneumonia,shortness of breath,chills,fatigue,,,,
Typhoid,diarrhea,high fever,stomach pain,rash,,,
Appendicitis,loss of appetite,nausea,vomiting,bloating,,,
Appendicitis,severe abdominal pain,vomiting,nausea,bloating,,,
Hepatitis B,fatigue,vomiting,abdominal pain,nausea,jaundice,joint pain,
Dengue Fever,severe headache,high fever,vomiting,,,,
Gastroenteritis,stomach cramps,fatigue,fever,nausea,,,
Influenza,fever,sore throat,body aches,cough,headache,chills,
Urinary Tract Infection,pelvic pain,chills,cloudy urine,burning urination,fever,,
Dengue Fever,fatigue,muscle pain,joint pain,nausea,,,
Asthma,shortness of breath,coughing,wheezing,,,,
Typhoid,loss of appetite,stomach pain,headache,weakness,high fever,diarrhea,rash
Arthritis,fatigue,joint pain,swelling,,,,
Migraine,sensitivity to light,fatigue,severe headache,blurred vision,nausea,sensitivity to sound,vomiting
Gastroenteritis,vomiting,fever,stomach cramps,fatigue,diarrhea,,
Influenza,sore throat,fever,fatigue,,,,
Tuberculosis,weight loss,night sweats,fatigue,chest pain,coughing up blood,fever,
Influenza,chills,runny nose,fever,cough,fatigue,,
Appendicitis,fever,loss of appetite,nausea,severe abdominal pain,vomiting,bloating,
Influenza,sore throat,fatigue,fever,body aches,runny nose,chills,
Measles,rash,sensitivity to light,fatigue,cough,runny nose,fever,
Urinary Tract Infection,frequent urination,chills,burning urination,cloudy urine,pelvic pain,fever,
Urinary Tract Infection,chills,pelvic pain,cloudy urine,fever,,,
Migraine,fatigue,nausea,sensitivity to sound,,,,
Migraine,nausea,blurred vision,severe headache,vomiting,sensitivity to light,fatigue,
Common Cold,runny nose,sore throat,cough,fatigue,sneezing,,
Typhoid,loss of appetite,high fever,weakness,constipation,rash,headache,stomach pain
Malaria,headache,sweating,fatigue,muscle pain,chills,nausea,
Hypertension,headache,shortness of breath,fatigue,,,,
Measles,fever,sensitivity to light,rash,,,,
Migraine,nausea,sensitivity to light,severe headache,fatigue,sensitivity to sound,,
Diabetes,blurred vision,weight loss,slow healing wounds,excessive thirst,frequent urination,,
Malaria,vomiting,sweating,headache,fever,fatigue,,
Urinary Tract Infection,frequent urination,pelvic pain,cloudy urine,burning urination,fever,,
Migraine,severe headache,nausea,sensitivity to light,fatigue,blurred vision,vomiting,
Migraine,vomiting,sensitivity to sound,blurred vision,nausea,fatigue,,
COVID-19,cough,loss of taste,body aches,loss of smell,fatigue,,
Hypertension,chest pain,nosebleed,fatigue,blurred vision,,,
Measles,fatigue,red eyes,sensitivity to light,cough,,,
Dengue Fever,high fever,severe headache,muscle pain,vomiting,rash,,
Dengue Fever,fatigue,muscle pain,joint pain,severe headache,vomiting,,
